MAX_PATIENT_ID_COUNT;MKB_CODE;ADRES;AGE_CATEGORY;id;MKB_group;LAST_PATIENT_ID_COUNT;PATIENT_ID_COUNT;Mean;Mediana;Stotkl;last;MIN_PATIENT_ID_COUNT;Median_PATIENT_ID_COUNT;COL_PATIENT_ZAP;MEAN_PATIENT;PATIENT_SEX
26;A04.9;Калининград;children;19;A;4;3;3.33333333333333;3;1.72328087371066;5;1;6;51;7.05882352941176;0
24;A04.9;Калининград;children;23111;A;5;6;6.58333333333333;5;4.27377485545876;6;1;7;49;8.46938775510204;1
15;A04.9;Калининград;young;21;A;1;5;2.91666666666667;3;1.62135371797393;1;1;4;48;5;0
13;A04.9;Калининград;young;23114;A;3;2;2.9;2;2.37814119756493;1;1;4;47;4.12765957446809;1
6;A04.9;Черняховск;children;23116;A;1;1;1.66666666666667;2;0.577350269189625;1;1;1;15;2.2;1
6;A05.9;Калининград;young;25;A;3;1;1.25;1;0.5;2;1;2;35;1.97142857142857;0
17;A07.1;Калининград;children;31;A;11;11;7.5;7.5;3.17661912902839;7;1;8;51;8.49019607843137;0
14;A07.1;Калининград;elderly;32;A;6;4;2.25;2;1.48804761828569;1;1;4;46;5.08695652173913;0
13;A07.1;Калининград;young;35;A;3;4;3.1;2.5;1.91195071996;5;1;4.5;48;5.1875;0
10;A07.1;Калининград;young;23127;A;1;8;1.9;1.5;1.10050493461461;3;1;3;43;3.76744186046512;1
15;A07.1;Нестеров;children;36;A;1;4;5.09090909090909;5;4.15823389083744;5;1;3;31;4.19354838709677;0
10;A07.1;Правдинск;children;37;A;6;1;4.2;2.5;3.61478445646026;3;1;2;39;3.30769230769231;0
16;A07.1;Правдинск;children;23129;A;7;2;5.66666666666667;3;5.40832691319598;7;1;2;35;3.31428571428571;1
6;A07.1;Черняховск;young;46;A;1;6;2;1;2;5;1;1;15;2.26666666666667;0
31;A08.0;Калининград;children;49;A;25;8;2.3;1;2.79085809185793;10;1;6;49;7.91836734693878;0
33;A08.0;Калининград;children;23137;A;33;6;3.81818181818182;2;3.45884899404937;10;1;7;49;9.18367346938776;1
