MAX_PATIENT_ID_COUNT;MKB_CODE;ADRES;AGE_CATEGORY;id;MKB_group;LAST_PATIENT_ID_COUNT;PATIENT_ID_COUNT;Mean;Mediana;Stotkl;last;MIN_PATIENT_ID_COUNT;Median_PATIENT_ID_COUNT;COL_PATIENT_ZAP;MEAN_PATIENT;PATIENT_SEX
59;A09;Калининград;children;81;A;8;6;4.1;5.5;2.51440295541948;6;1;8;49;14.8979591836735;0
67;A09;Калининград;children;23164;A;9;12;6;5;4.38178046004133;10;1;9.5;50;17.16;1
107;A63.8;Калининград;young;167;A;13;31;35.75;37;11.4663539421768;31;13;31;51;34.6862745098039;0
68;B01;Калининград;children;23295;B;2;14;6.54545454545455;7;5.62785281192812;18;1;9;49;13.0408163265306;1
142;B01.9;Гурьевск;children;217;B;88;142;21.8333333333333;9.5;30.8097780622066;110;1;9;50;21.08;0
173;B01.9;Гурьевск;children;23272;B;87;173;30;17;31.2929704566377;99;1;12.5;46;23.804347826087;1
470;B01.9;Калининград;children;223;B;198;431;99.8333333333333;90;107.480089770011;393;15;131;51;165.509803921569;0
494;B01.9;Калининград;children;23277;B;175;431;106.5;95.5;105.715312385327;369;13;130;51;173.882352941176;1
60;B01.9;Пионерский;children;230;B;60;5;4.66666666666667;1;5.43139024560011;1;1;5;36;7.86111111111111;0
62;B01.9;Пионерский;children;23283;B;56;4;4.8;3.5;4.61398839279954;2;1;4;35;8.85714285714286;1
238;B07;Калининград;children;261;B;141;143;113.583333333333;119.5;36.5524736965001;150;37;118;51;117.705882352941;0
241;B07;Калининград;children;23314;B;135;153;121.916666666667;127.5;37.0318249699641;156;57;122;51;120.549019607843;1
86;B07;Калининград;young;265;B;71;60;39.1666666666667;40.5;12.8121627819629;52;12;49;51;47.1176470588235;0
79;B18.2;Калининград;elderly;301;B;10;9;7.41666666666667;4;6.94731253904353;4;1;19;50;29.46;0
99;B18.2;Калининград;middleage;302;B;19;18;9.66666666666667;10;3.8455011101128;14;4;23;51;38.7647058823529;0
73;B18.2;Калининград;middleage;23353;B;15;9;8.66666666666667;9;4.43812682299297;10;1;19;51;30.6666666666667;1
78;B18.2;Калининград;young;304;B;16;11;8;7.5;3.93122696553448;10;3;21.5;50;31.56;0
77;B18.2;Калининград;young;23355;B;14;11;12.25;11.5;7.30037358944421;9;2;25;51;31.7058823529412;1
92;B35.1;Калининград;elderly;356;B;60;40;41.75;43.5;18.0006313020607;37;17;53;51;53.3333333333333;0
55;B35.1;Калининград;elderly;23398;B;18;26;20.3333333333333;18;5.5158174756098;24;5;25;51;27.7058823529412;1
68;B35.1;Калининград;middleage;357;B;39;32;27.25;28.5;7.64109701786096;28;14;36;51;38.9607843137255;0
62;B35.1;Калининград;young;359;B;27;25;19.5833333333333;18.5;8.72257607208635;21;5;25;51;27.2549019607843;0
51;B80;Калининград;children;23491;B;25;25;15;14.5;9.56318699255355;23;3;18;51;19.2156862745098;1
57;C20;Калининград;elderly;737;C;34;45;29.9166666666667;30.5;6.61208718709129;32;19;36;51;35.8039215686274;0
55;C20;Калининград;elderly;23766;C;43;30;33.5;33;4.77683805651625;31;24;37;51;37.2352941176471;1
68;C44.3;Калининград;elderly;906;C;61;65;36.9166666666667;39.5;11.6342623576255;54;12;38;51;39.2745098039216;0
62;C44.3;Калининград;old;908;C;44;52;35.25;35;10.566886528637;41;17;40;51;41.0392156862745;0
60;C50.1;Калининград;elderly;993;C;41;48;43.5;45;10.3879300589237;45;20;40;51;39.9411764705882;0
54;C50.2;Калининград;elderly;1015;C;47;43;39.1666666666667;40.5;8.7784170589353;32;18;32;51;34;0
239;C50.4;Калининград;elderly;1066;C;216;218;192.083333333333;200;33.3451872861964;204;123;175;51;177.392156862745;0
115;C50.4;Калининград;middleage;1067;C;98;105;97.9166666666667;104.5;16.9890784882167;108;52;92;51;88.2941176470588;0
56;C50.4;Калининград;old;1068;C;37;48;39.6666666666667;41;8.32666399786454;51;21;42;51;41.1960784313726;0
59;C50.8;Калининград;elderly;1127;C;56;51;42.8333333333333;42.5;9.29157324317756;43;19;39;51;38.3921568627451;0
215;C50.9;Калининград;elderly;1154;C;58;77;79.0833333333333;80;17.1063961101919;80;28;96;51;117.176470588235;0
105;C50.9;Калининград;middleage;1155;C;40;46;40.5;42.5;7.8566705879318;49;20;55;51;60.0196078431373;0
80;C50.9;Калининград;old;1156;C;14;24;17.8333333333333;18.5;4.83985975253855;19;8;24;51;34.6274509803922;0
129;C54.1;Калининград;elderly;1253;C;96;112;88.1666666666667;92.5;30.3339993266881;121;25;67;51;74.8627450980392;0
77;C56;Калининград;elderly;1305;C;53;63;51.25;48;12.8213245663763;46;26;45;51;45.6470588235294;0
271;C61;Калининград;elderly;24031;C;271;198;187.166666666667;193;39.1496739411323;208;110;208;51;203.823529411765;1
200;C61;Калининград;old;24033;C;200;123;116.916666666667;119;30.8027694543949;138;69;135;51;131.901960784314;1
54;C64;Калининград;elderly;1332;C;18;25;22.5;24.5;7.6455572363658;24;10;26;51;26.4901960784314;0
112;C97;Калининград;elderly;1512;C;112;79;54;57;15.1537574098427;80;1;35;51;40.3529411764706;0
63;C97;Калининград;elderly;24242;C;62;61;37.5833333333333;37.5;9.30745872291614;56;1;25.5;50;26.14;1
92;D18.0;Калининград;children;1879;D;71;72;60.9166666666667;68;28.4683503156922;53;17;57;51;57.8823529411765;0
72;D18.0;Калининград;children;24523;D;44;44;43.75;47;18.1915314963259;50;5;37;51;38.7450980392157;1
85;D22.5;Калининград;children;1994;D;13;21;19.3;11.5;23.7489181040129;25;2;8;47;11.7659574468085;0
172;D22.5;Калининград;young;1998;D;30;66;44.8333333333333;24.5;52.9679720265564;47;3;18;51;25.8823529411765;0
166;D22.5;Калининград;young;24595;D;10;18;28.0909090909091;8;51.7695944458802;11;1;7;50;12.18;1
70;D23.3;Калининград;elderly;2053;D;55;44;31.4166666666667;30;12.3690106412123;52;9;32;51;32.7058823529412;0
77;D23.5;Калининград;elderly;2087;D;47;77;32.5833333333333;26;17.3281606500849;75;17;39;51;39.7843137254902;0
89;D23.5;Калининград;middleage;2088;D;34;89;31.8333333333333;23;21.9662275212461;89;15;26;51;30.1764705882353;0
103;D23.5;Калининград;young;2090;D;68;101;44.4166666666667;38;24.5633072000914;103;18;34;51;41.2745098039216;0
110;D24;Калининград;elderly;2138;D;77;74;49.9166666666667;53;15.3175973272177;73;21;61;51;63.5882352941176;0
101;D24;Калининград;middleage;2139;D;84;64;52.25;56.5;11.354814757706;61;29;57;51;57.6666666666667;0
96;D24;Калининград;young;2141;D;90;68;57.1666666666667;57.5;13.9664099202553;79;29;62;51;62;0
152;D25;Калининград;middleage;2280;D;1;8;3.5;3;2.27303028283098;3;1;9;45;57.6;0
78;D25.0;Калининград;middleage;2172;D;20;14;17.5;16.5;6.92163932237811;14;7;28;51;30.9019607843137;0
272;D25.1;Калининград;middleage;2201;D;182;180;147;176.5;59.3326523624525;170;52;170;51;167.21568627451;0
108;D25.1;Калининград;young;2203;D;61;78;61.3333333333333;67.5;26.1058451599474;63;20;64;51;63.9411764705882;0
62;D25.2;Калининград;middleage;2241;D;37;48;22.1666666666667;23;9.87037194964011;26;3;37;51;35.156862745098;0
61;D25.9;Калининград;elderly;2266;D;19;20;14.4166666666667;14;7.44016536147286;13;2;23;51;26.1372549019608;0
138;D25.9;Калининград;middleage;2267;D;42;57;38.5;36.5;15.871644240881;51;13;60;51;64.5098039215686;0
